23023,213349_AT 213351_S_AT 213352_AT 227112_AT 237943_AT 239029_AT 239662_X_AT
7525,202932_AT 202933_S_AT 210917_AT 222180_AT
54726,203479_S_AT 203480_S_AT 220669_AT 238848_AT
5537,203529_AT 206174_S_AT 225426_AT 225429_AT
9372,204893_S_AT 208446_S_AT
11215,203156_AT 215336_AT
4520,205322_S_AT 205323_S_AT 227150_AT
64859,219334_S_AT 222872_X_AT 233085_S_AT
115548,228220_AT
10628,201008_S_AT 201009_S_AT 201010_S_AT
5925,203132_AT 211540_S_AT
11334,203272_S_AT 203273_S_AT
5534,204506_AT 204507_S_AT 241786_AT
9575,204980_AT 217563_AT 230657_AT
9732,205003_AT 241313_AT
3556,205227_AT 210233_AT
5051,205232_S_AT 205233_S_AT
9497,207603_AT 207604_S_AT 209884_S_AT 210286_S_AT
94134,207606_S_AT 243289_AT
10725,208003_S_AT 215092_S_AT 224984_AT 242371_X_AT
4781,209289_AT 209290_S_AT 211466_AT 211467_S_AT 213029_AT 213032_AT 213033_S_AT 230291_S_AT 230791_AT 233304_AT 233394_AT 242792_AT 243933_AT
9321,209778_AT 210760_X_AT 235973_AT 236160_AT
57157,209780_AT 215286_S_AT 217097_S_AT
4863,209798_AT 211584_S_AT 211585_AT
55577,218231_AT
65981,218456_AT
152006,218528_S_AT 222660_S_AT
79791,219784_AT 219785_S_AT 222352_AT 223745_AT 224162_S_AT
55680,219957_AT 233191_AT 233192_S_AT 235345_AT 238550_AT 241996_AT
56648,220198_S_AT 235289_AT 235296_AT
65977,223370_AT 227658_S_AT 227659_AT
51277,223504_AT 223505_S_AT 227859_AT 233368_S_AT
85461,225308_S_AT 234039_AT 234870_AT 239578_AT
404636,225351_AT
130574,227763_AT 227764_AT 239028_AT
