221264,1552299_AT
4238,1552312_A_AT 213123_AT 214588_S_AT
5930,1552329_AT 205178_S_AT 212781_AT 212783_AT 223802_S_AT 227635_AT 228814_AT 232044_AT 241545_X_AT
5150,1552343_S_AT 223358_S_AT 223359_S_AT 224046_S_AT 230500_AT 232314_AT
201158,1552377_S_AT
130399,1552519_AT
157753,1552520_AT 1552521_A_AT
117289,1552541_AT 1552542_S_AT 229723_AT 234050_AT 242388_X_AT
6727,200007_AT
6152,200013_AT
4677,200027_AT
2079,200043_AT
6229,200061_S_AT
4869,200063_S_AT 221691_X_AT 221923_S_AT
6282,200660_AT 208540_X_AT
9741,200673_AT 242121_AT
11014,200698_AT 200699_AT 200700_S_AT 242725_AT
7803,200730_S_AT 200731_S_AT 200732_S_AT 200733_S_AT 240329_AT
4144,200768_S_AT 200769_S_AT 213705_AT
3915,200770_S_AT 200771_AT 243591_AT
5757,200772_X_AT 211921_X_AT 231168_AT
4170,200796_S_AT 200797_S_AT 200798_X_AT 214056_AT 214057_AT 227175_AT
3920,200821_AT 203041_S_AT 203042_AT 226671_AT
51552,200927_S_AT 200928_S_AT 211503_S_AT
3281,200941_AT 200942_S_AT
10552,200950_AT 215457_AT
6386,200958_S_AT
10628,201008_S_AT 201009_S_AT 201010_S_AT
1843,201041_S_AT 201044_X_AT 226578_S_AT
5954,201063_AT 226407_AT
1434,201111_AT 201112_S_AT 210765_AT 210766_S_AT
3188,201132_AT 243201_AT
4780,201146_AT 236213_AT
3417,201193_AT 242001_AT 242956_AT
1476,201201_AT 236449_AT
7832,201235_S_AT 201236_S_AT
9167,201256_AT
55233,201297_S_AT 201298_S_AT 201299_S_AT 214812_S_AT
9315,201309_X_AT 201310_S_AT 222344_AT 230424_AT 238410_X_AT 238411_X_AT
5917,201330_AT 237751_X_AT 239892_AT
9341,201336_AT 201337_S_AT 211749_S_AT
4259,201403_S_AT 233307_X_AT 244122_AT
6173,201406_AT
6009,201451_X_AT 201452_AT 201453_X_AT 213404_S_AT 213409_S_AT 227633_AT 241795_AT 243008_AT
9520,201454_S_AT 201455_S_AT 214101_S_AT 242612_AT
9184,201456_S_AT 201457_X_AT 201458_S_AT 209974_S_AT 229827_AT
5955,201485_S_AT 201486_AT
